Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
239 /viewport-home/,100,2206,2157,2918,3310,3786,1483,3813,0.00%,22.6,221.5
12 /viewport-home/,10,2350,2251,2396,2396,4559,1510,4559,0.00%,1.7,16.9
244 /cas/ticketStatus,100,209,204,232,246,251,199,251,0.00%,45.5,14.5
15 /cas/ticketStatus,10,211,204,227,227,228,200,228,0.00%,2.7,.9
16 /ideskos-locale/bundle/com.mediaocean.viewport.banner/locale/22,10,376,274,304,304,1261,254,1261,0.00%,2.6,6.6
245 /ideskos-locale/bundle/com.mediaocean.viewport.banner/locale/22,100,549,492,728,891,1356,440,1780,0.00%,34.7,533.0
17 /ideskos-locale/bundle/com.mediaocean.viewport-app/locale/22,10,266,254,281,281,350,240,350,0.00%,2.6,6.1
247 /ideskos-locale/bundle/com.mediaocean.viewport-app/locale/22,100,403,285,892,1094,1493,245,1704,0.00%,31.8,390.2
19 /viewport/login2/,10,652,652,668,668,694,615,694,0.00%,2.4,11.9
250 /viewport/login2/,100,774,665,848,1839,2286,618,2915,0.00%,23.5,115.9
21 /ideskos-locale/bundle/com.mediaocean.viewport.login2/locale/22,10,296,284,337,337,343,273,343,0.00%,2.6,10.4
254 /ideskos-locale/bundle/com.mediaocean.viewport.login2/locale/22,100,737,543,1250,1773,2193,456,2228,0.00%,22.4,596.9
22 /ideskos-locale/bundle/com.mediaocean.prisma.portal.admin/locale/22,10,303,275,357,357,378,252,378,0.00%,2.7,11.4
24 /ideskos-locale/locales/active,10,234,227,263,263,273,215,273,0.00%,2.7,3.3
255 /ideskos-locale/bundle/com.mediaocean.prisma.portal.admin/locale/22,100,697,489,1295,1531,2773,450,2800,0.00%,21.7,561.5
38 /cas/v1/tickets,10,1079,756,1172,1172,3682,500,3682,0.00%,1.4,1.8
256 /ideskos-locale/bundle/com.mediaocean.prisma.portal.common/locale/22,100,897,733,1113,1962,2570,676,2606,0.00%,20.0,899.8
257 /ideskos-locale/locales/active,100,233,222,241,248,419,214,664,0.00%,22.0,141.8
39 /ideskos-viewport/user/current,10,436,432,446,446,475,416,475,0.00%,1.5,1.2
260 /cas/v1/tickets,100,3456,3807,5185,5478,5809,519,5855,0.00%,10.9,13.7
40 /cas/login/idesk-viewport,10,659,650,696,696,704,625,704,0.00%,1.4,.9
262 /ideskos-viewport/user/current,100,453,412,519,692,788,402,1346,0.00%,11.0,9.4
41 /ideskos-viewport/j_spring_cas_security_check,10,467,461,487,487,487,457,487,0.00%,1.5,4.0
42 /ideskos-viewport/user/current,10,216,215,223,223,228,209,228,0.00%,1.5,3.8
263 /cas/login/idesk-viewport,100,700,666,850,878,1034,619,1062,0.00%,10.8,6.9
43 /ideskos-viewport/config/resources,10,206,206,210,210,212,202,212,0.00%,1.5,1.2
45 /cas/ticketStatus,10,204,201,213,213,219,201,219,0.00%,1.5,.5
264 /ideskos-viewport/j_spring_cas_security_check,100,569,514,734,878,1064,450,1086,0.00%,10.7,30.3
49 /bi-services/api/syncUser,10,412,408,419,419,434,405,434,0.00%,1.5,1.4
265 /ideskos-viewport/user/current,100,243,226,291,330,415,209,694,0.00%,10.9,28.7
266 /ideskos-viewport/config/resources,100,221,211,241,309,332,203,399,0.00%,10.9,8.4
57 /cas/login/bi-service,10,228,225,236,236,246,217,246,0.00%,1.5,.4
268 /cas/ticketStatus,100,224,205,260,364,522,200,613,0.00%,10.9,3.5
59 /prisma-api/secure/rest/preauth,10,409,407,413,413,425,405,425,0.00%,1.5,1.4
270 /bi-services/api/syncUser,100,481,418,621,788,1027,403,1773,0.00%,10.7,10.2
275 /cas/login/bi,100,299,248,408,465,1233,223,1444,0.00%,10.9,2.6
60 /bi-services/j_spring_cas_security_check,10,517,488,521,521,824,463,824,0.00%,1.5,1.7
66 /bi-services/api/syncUser,10,240,231,258,258,280,227,280,0.00%,1.5,1.5
277 /prisma-api/secure/rest/preauth,100,452,418,526,587,734,404,749,0.00%,10.7,10.0
67 /cas/login/prisma-api,10,226,223,237,237,249,215,249,0.00%,1.5,1.0
278 /bi-services/j_spring_cas_security_check,100,1552,556,5137,5295,5712,463,5740,0.00%,7.4,8.4
70 /prisma-api/j_spring_cas_security_check,10,497,479,519,519,604,462,604,0.00%,1.5,1.0
284 /cas/login/prisma,100,376,263,717,737,769,87,1230,1.00%,7.2,4.7
71 /prisma-api/secure/rest/preauth,10,206,203,213,213,224,202,224,0.00%,1.5,.8
285 /bi-services/api/syncUser,100,323,237,386,421,924,223,5399,0.00%,7.2,7.3
287 /prisma-api/j_spring_cas_security_check,100,922,529,796,5636,5730,0,5919,1.00%,7.0,4.7
288 /prisma-api/secure/rest/secadmin/users/session,100,789,246,1203,5192,5389,217,5539,0.00%,7.1,7.9
291 /prisma-api/secure/rest/mdm/uiMetadata,100,654,433,797,897,5755,234,5823,0.00%,6.9,66.6
292 /ideskos-locale/bundle/PrismaContextHelp/locale/22,100,1120,1024,1505,1578,1694,484,2272,0.00%,6.4,292.6
74 /services/viewer/federated_f9,10,2165,2183,2391,2391,2405,1861,2405,0.00%,1.2,4.5
75 /prisma-api/secure/rest/secadmin/users/session,10,693,239,722,722,4256,223,4256,0.00%,1.0,1.1
79 /ideskos-locale/bundle/PrismaContextHelp/locale/22,10,365,317,546,546,593,274,593,0.00%,1.0,4.3
78 /prisma-api/secure/rest/mdm/uiMetadata,10,296,260,428,428,442,238,442,0.00%,1.0,9.3
290 /ideskos-locale/bundle/com.mediaocean.global.common/locale/22,100,1841,1820,2133,2244,3203,1093,3285,0.00%,5.7,628.1
76 /ideskos-locale/bundle/com.mediaocean.global.common/locale/22,10,760,728,1070,1070,1086,383,1086,0.00%,.9,13.2
293 /prisma-api/secure/rest/preauth,100,210,205,222,227,234,201,447,0.00%,6.3,3.3
77 /ideskos-locale/bundle/com.mediaocean.security.admin/locale/22,10,1895,2049,2236,2236,2466,1146,2466,0.00%,.8,14.8
81 /prisma-api/secure/rest/secadmin/users/organisations,10,952,407,875,875,5131,380,5131,0.00%,.8,1.4
82 /ideskos-locale/locales,10,312,299,350,350,589,226,589,0.00%,.8,3.1
84 /ideskos-locale/locale/en_GB,10,211,208,219,219,228,207,228,0.00%,.8,.6
85 /ideskos-locale/locale/en_GB,10,212,210,218,218,230,205,230,0.00%,.8,.6
289 /ideskos-locale/bundle/com.mediaocean.security.admin/locale/22,100,2544,2300,4204,4380,4510,1596,4731,0.00%,5.0,965.1
86 /ideskos-locale/locale/en_GB,10,223,213,255,255,261,207,261,0.00%,.8,.6
87 /prisma-api/secure/rest/secadmin/adminMenuOption,10,2996,4052,4911,4911,5392,233,5392,0.00%,.8,1.0
295 /prisma-api/secure/rest/secadmin/users/organisations,100,1672,1446,3451,3799,4546,376,5009,0.00%,5.6,9.3
301 /ideskos-locale/locale/en_US,100,225,216,256,264,293,204,294,0.00%,5.6,4.7
83 /prisma-api/secure/rest/secadmin/associations/2114984,10,1019,439,1539,1539,5233,266,5233,0.00%,.8,3.4
89 /ideskos-locale/locale/en_GB,10,225,208,258,258,279,205,279,0.00%,.9,.6
299 /prisma-api/secure/rest/secadmin/associations/2114990,100,656,458,888,988,5471,248,5478,0.00%,5.5,21.7
298 /ideskos-locale/locales,100,824,893,1159,1236,2183,429,2540,0.00%,5.5,253.5
305 /ideskos-locale/locale/en_US,100,238,224,281,334,365,203,385,0.00%,5.6,4.6
304 /prisma-api/secure/rest/secadmin/associations/2114990,100,449,347,640,812,925,244,4374,0.00%,5.6,21.9
88 /prisma-api/secure/rest/secadmin/associations/2114984,10,930,363,675,675,5821,249,5821,0.00%,.8,3.3
91 /prisma-api/secure/rest/secadmin/accessgroups/organisations/2114984,10,376,285,579,579,696,243,696,0.00%,1.5,2.1
303 /ideskos-locale/locales,100,654,650,845,957,1246,423,2123,0.00%,7.1,326.4
92 /prisma-api/secure/rest/secadmin/roles/organisations/2114984,10,292,282,333,333,372,241,372,0.00%,1.4,2.2
90 /prisma-api/secure/rest/secadmin/associations/2114984,10,345,270,461,461,711,248,711,0.00%,1.4,2.3
