Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
239 /viewport-home/,100,2305,2233,2692,3042,5087,1519,5471,0.00%,16.1,157.7
12 /viewport-home/,10,2306,1775,3907,3907,4336,1513,4336,0.00%,1.7,16.9
244 /cas/ticketStatus,100,211,208,225,233,247,200,262,0.00%,26.4,8.4
15 /cas/ticketStatus,10,213,206,239,239,247,202,247,0.00%,2.7,.8
245 /ideskos-locale/bundle/com.mediaocean.viewport.banner/locale/22,100,487,293,872,1588,2248,242,2249,0.00%,22.7,349.1
16 /ideskos-locale/bundle/com.mediaocean.viewport.banner/locale/22,10,588,266,1298,1298,1507,245,1507,0.00%,2.6,6.6
247 /ideskos-locale/bundle/com.mediaocean.viewport-app/locale/22,100,476,264,1087,1118,1934,243,2305,0.00%,21.7,266.0
17 /ideskos-locale/bundle/com.mediaocean.viewport-app/locale/22,10,463,263,540,540,1319,250,1319,0.00%,2.7,6.2
250 /viewport/login2/,100,731,642,729,1263,1872,609,2889,0.00%,19.9,98.0
19 /viewport/login2/,10,831,646,1269,1269,1278,619,1278,0.00%,2.4,11.9
254 /ideskos-locale/bundle/com.mediaocean.viewport.login2/locale/22,100,663,567,1068,1771,2388,255,5010,0.00%,19.6,523.4
21 /ideskos-locale/bundle/com.mediaocean.viewport.login2/locale/22,10,320,289,460,460,491,252,491,0.00%,2.6,10.3
255 /ideskos-locale/bundle/com.mediaocean.prisma.portal.admin/locale/22,100,650,478,1304,1469,1931,259,2146,0.00%,15.8,409.5
22 /ideskos-locale/bundle/com.mediaocean.prisma.portal.admin/locale/22,10,306,272,454,454,471,248,471,0.00%,2.7,11.2
24 /ideskos-locale/locales/active,10,232,228,239,239,284,213,284,0.00%,2.6,3.2
256 /ideskos-locale/bundle/com.mediaocean.prisma.portal.common/locale/22,100,621,528,1080,1215,1747,280,2279,0.00%,14.1,634.8
257 /ideskos-locale/locales/active,100,231,223,236,242,268,213,820,0.00%,14.2,91.6
38 /cas/v1/tickets,10,2570,2422,3302,3302,5426,931,5426,0.00%,1.2,1.5
260 /cas/v1/tickets,100,2872,2819,4564,4926,5357,626,5595,0.00%,11.1,13.9
39 /ideskos-viewport/user/current,10,428,406,417,417,606,405,606,0.00%,1.3,1.1
262 /ideskos-viewport/user/current,100,485,420,721,762,883,388,953,0.00%,11.4,9.7
263 /cas/login/idesk-viewport,100,785,707,984,1148,1270,623,2047,0.00%,11.0,7.1
