Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
12 /viewport-home/,10,1501,1468,1497,1497,1834,1428,1834,0.00%,.4,3.5
239 /viewport-home/,100,1480,1438,1492,1537,2195,1408,2890,0.00%,.3,3.3
244 /cas/ticketStatus,100,207,204,212,218,234,200,408,0.00%,.3,.1
15 /cas/ticketStatus,10,212,208,216,216,246,202,246,0.00%,.4,.1
16 /ideskos-locale/bundle/com.mediaocean.viewport.banner/locale/22,10,258,259,260,260,269,252,269,0.00%,.4,1.0
245 /ideskos-locale/bundle/com.mediaocean.viewport.banner/locale/22,100,313,256,460,464,502,243,649,0.00%,.3,5.2
17 /ideskos-locale/bundle/com.mediaocean.viewport-app/locale/22,10,253,252,259,259,265,243,265,0.00%,.4,.9
247 /ideskos-locale/bundle/com.mediaocean.viewport-app/locale/22,100,262,251,265,302,456,241,462,0.00%,.3,4.1
19 /viewport/login2/,10,633,630,645,645,662,616,662,0.00%,.4,1.8
250 /viewport/login2/,100,622,617,641,648,678,591,845,0.00%,.3,1.7
21 /ideskos-locale/bundle/com.mediaocean.viewport.login2/locale/22,10,260,259,272,272,275,247,275,0.00%,.4,1.5
22 /ideskos-locale/bundle/com.mediaocean.prisma.portal.admin/locale/22,10,258,256,267,267,270,249,270,0.00%,.4,1.6
254 /ideskos-locale/bundle/com.mediaocean.viewport.login2/locale/22,100,451,457,475,486,673,254,967,0.00%,.3,9.0
24 /ideskos-locale/locales/active,10,227,225,237,237,242,220,242,0.00%,.4,.5
255 /ideskos-locale/bundle/com.mediaocean.prisma.portal.admin/locale/22,100,390,450,471,483,766,253,1290,0.00%,.3,8.7
38 /cas/v1/tickets,10,636,533,650,650,1452,504,1452,0.00%,.4,.5
39 /ideskos-viewport/user/current,10,423,420,432,432,434,415,434,0.00%,.4,.3
256 /ideskos-locale/bundle/com.mediaocean.prisma.portal.common/locale/22,100,539,478,681,691,710,457,860,0.00%,.3,15.2
257 /ideskos-locale/locales/active,100,221,220,226,231,249,213,262,0.00%,.3,2.2
40 /cas/login/idesk-viewport,10,639,639,651,651,653,621,653,0.00%,.4,.2
260 /cas/v1/tickets,100,549,527,641,680,774,491,1041,0.00%,.3,.4
41 /ideskos-viewport/j_spring_cas_security_check,10,461,459,468,468,482,449,482,0.00%,.4,1.0
262 /ideskos-viewport/user/current,100,413,409,425,433,456,402,463,0.00%,.3,.3
42 /ideskos-viewport/user/current,10,215,213,219,219,231,210,231,0.00%,.4,.9
43 /ideskos-viewport/config/resources,10,209,207,216,216,216,204,216,0.00%,.4,.3
45 /cas/ticketStatus,10,205,204,208,208,214,202,214,0.00%,.4,.1
263 /cas/login/idesk-viewport,100,632,629,646,666,682,615,686,0.00%,.3,.2
49 /bi-services/api/syncUser,10,420,419,429,429,439,408,439,0.00%,.4,.3
264 /ideskos-viewport/j_spring_cas_security_check,100,457,452,481,490,506,419,510,0.00%,.3,1.0
57 /cas/login/bi-service,10,225,223,233,233,238,218,238,0.00%,.4,.1
265 /ideskos-viewport/user/current,100,219,213,221,230,246,208,717,0.00%,.3,.9
266 /ideskos-viewport/config/resources,100,207,207,213,216,225,203,230,0.00%,.3,.3
59 /prisma-api/secure/rest/preauth,10,430,424,449,449,476,414,476,0.00%,.4,.3
268 /cas/ticketStatus,100,205,205,212,215,220,200,226,0.00%,.3,.1
60 /bi-services/j_spring_cas_security_check,10,482,480,495,495,502,464,502,0.00%,.4,.4
270 /bi-services/api/syncUser,100,427,413,441,448,462,403,1418,0.00%,.3,.3
66 /bi-services/api/syncUser,10,230,230,236,236,240,222,240,0.00%,.4,.4
275 /cas/login/bi,100,222,219,228,235,248,213,418,0.00%,.3,.1
67 /cas/login/prisma-api,10,229,225,230,230,255,224,255,0.00%,.4,.2
277 /prisma-api/secure/rest/preauth,100,413,411,425,431,448,403,464,0.00%,.3,.3
70 /prisma-api/j_spring_cas_security_check,10,472,467,492,492,538,449,538,0.00%,.4,.2
71 /prisma-api/secure/rest/preauth,10,206,204,211,211,213,203,213,0.00%,.4,.2
278 /bi-services/j_spring_cas_security_check,100,472,466,489,505,521,427,752,0.00%,.3,.4
284 /cas/login/prisma,100,226,223,235,248,278,215,329,0.00%,.3,.2
285 /bi-services/api/syncUser,100,242,225,240,249,269,218,1667,0.00%,.3,.3
287 /prisma-api/j_spring_cas_security_check,100,459,457,477,483,500,415,533,0.00%,.3,.2
288 /prisma-api/secure/rest/secadmin/users/session,100,229,223,234,240,260,217,574,0.00%,.3,.4
291 /prisma-api/secure/rest/mdm/uiMetadata,100,246,238,252,257,435,230,648,0.00%,.3,3.3
292 /ideskos-locale/bundle/PrismaContextHelp/locale/22,100,498,470,501,664,863,453,1749,0.00%,.3,15.5
74 /services/viewer/federated_f9,10,1922,1844,1909,1909,2604,1784,2604,0.00%,.3,1.3
75 /prisma-api/secure/rest/secadmin/users/session,10,228,228,233,233,233,221,233,0.00%,.4,.4
290 /ideskos-locale/bundle/com.mediaocean.global.common/locale/22,100,972,912,1121,1153,1537,712,2098,0.00%,.3,37.1
79 /ideskos-locale/bundle/PrismaContextHelp/locale/22,10,273,271,283,283,285,265,285,0.00%,.4,1.7
293 /prisma-api/secure/rest/preauth,100,207,204,216,222,228,201,237,0.00%,.3,.2
78 /prisma-api/secure/rest/mdm/uiMetadata,10,241,242,246,246,249,235,249,0.00%,.4,3.7
76 /ideskos-locale/bundle/com.mediaocean.global.common/locale/22,10,472,503,526,526,541,303,541,0.00%,.4,5.6
77 /ideskos-locale/bundle/com.mediaocean.security.admin/locale/22,10,579,578,601,601,602,539,602,0.00%,.4,7.2
289 /ideskos-locale/bundle/com.mediaocean.security.admin/locale/22,100,1350,1335,1445,1732,2834,1135,3007,0.00%,.3,64.7
81 /prisma-api/secure/rest/secadmin/users/organisations,10,384,383,389,389,407,370,407,0.00%,.4,.6
295 /prisma-api/secure/rest/secadmin/users/organisations,100,384,378,389,407,583,361,592,0.00%,.3,.6
82 /ideskos-locale/locales,10,235,232,249,249,253,226,253,0.00%,.4,1.4
301 /ideskos-locale/locale/en_US,100,210,208,218,228,239,204,241,0.00%,.3,.3
84 /ideskos-locale/locale/en_GB,10,262,213,217,217,707,207,707,0.00%,.4,.2
85 /ideskos-locale/locale/en_GB,10,214,210,218,218,226,208,226,0.00%,.4,.2
299 /prisma-api/secure/rest/secadmin/associations/2114990,100,252,244,264,275,446,235,446,0.00%,.3,1.3
86 /ideskos-locale/locale/en_GB,10,213,213,218,218,218,208,218,0.00%,.4,.2
87 /prisma-api/secure/rest/secadmin/adminMenuOption,10,238,238,249,249,251,227,251,0.00%,.4,.4
298 /ideskos-locale/locales,100,451,422,437,440,1637,413,1927,0.00%,.3,15.5
305 /ideskos-locale/locale/en_US,100,209,207,216,221,226,204,229,0.00%,.3,.3
83 /prisma-api/secure/rest/secadmin/associations/2114984,10,253,251,264,264,270,242,270,0.00%,.4,1.5
304 /prisma-api/secure/rest/secadmin/associations/2114990,100,248,244,258,267,353,233,386,0.00%,.3,1.3
89 /ideskos-locale/locale/en_GB,10,215,214,222,222,230,209,230,0.00%,.4,.2
88 /prisma-api/secure/rest/secadmin/associations/2114984,10,254,253,260,260,276,239,276,0.00%,.4,1.5
303 /ideskos-locale/locales,100,432,422,436,455,846,228,1734,0.00%,.3,15.5
91 /prisma-api/secure/rest/secadmin/accessgroups/organisations/2114984,10,239,236,245,245,246,233,246,0.00%,.4,.5
307 /prisma-api/secure/rest/secadmin/accessgroups/organisations/2114990,100,252,237,251,259,608,229,1230,0.00%,.3,.5
92 /prisma-api/secure/rest/secadmin/roles/organisations/2114984,10,241,236,258,258,277,228,277,0.00%,.4,.6
306 /prisma-api/secure/rest/secadmin/associations/2114990,100,234,232,241,246,278,226,292,0.00%,.3,.6
90 /prisma-api/secure/rest/secadmin/associations/2114984,10,238,236,244,244,250,228,250,0.00%,.4,.6
308 /prisma-api/secure/rest/secadmin/roles/organisations/2114990,100,236,234,249,251,267,228,272,0.00%,.3,.5
93 /prisma-api/secure/rest/mdm/sellerOrganisations,10,295,291,307,307,311,282,311,0.00%,.4,.7
311 /prisma-api/secure/rest/secadmin/adminMenuOption,100,234,230,240,255,286,223,431,0.00%,.3,.4
309 /prisma-api/secure/rest/secadmin/permissions,100,289,276,305,342,505,260,512,0.00%,.3,3.5
94 /prisma-api/secure/rest/mdm/mediaOwners/35-F909FKX-5,10,438,433,458,458,468,422,468,0.00%,.4,.6
96 /ideskos-locale/locales,10,234,227,244,244,284,220,284,0.00%,.4,1.3
310 /prisma-api/secure/rest/mdm/sellerOrganisations,100,304,294,309,321,552,279,716,0.00%,.3,.6
95 /prisma-api/secure/rest/secadmin/permissions,10,282,278,313,313,322,264,322,0.00%,.4,3.3
312 /prisma-api/secure/rest/mdm/mediaOwners/22-JWH5BNF-5,100,425,421,442,450,502,407,535,0.00%,.3,.6
