Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
/cas/v1/tickets-qa1,1,1885,1885,1885,1885,1885,1885,1885,0.00%,.5,.7
/viewport-home/,1,227,227,227,227,227,227,227,0.00%,4.4,10.0
/ideskos-locale/bundle/com.mediaocean.viewport.banner/locale/22,1,478,478,478,478,478,478,478,0.00%,2.1,32.3
/ideskos-locale/bundle/com.mediaocean.viewport-app/locale/22,1,263,263,263,263,263,263,263,0.00%,3.8,46.8
/viewport/login2/,1,207,207,207,207,207,207,207,0.00%,4.8,3.2
/ideskos-locale/bundle/com.mediaocean.viewport.login2/locale/22,1,292,292,292,292,292,292,292,0.00%,3.4,91.7
/ideskos-locale/locales/active,1,239,239,239,239,239,239,239,0.00%,4.2,28.5
Welcome Page,1,1706,1706,1706,1706,1706,1706,1706,0.00%,.6,37.7
/cas/ticketStatus,1,214,214,214,214,214,214,214,0.00%,4.7,1.7
/ideskos-viewport/config/resources,1,219,219,219,219,219,219,219,0.00%,4.6,3.7
/ideskos-viewport/user/current,2,332,230,435,435,435,230,435,0.00%,.2,.4
/cas/login-idesk viewport,1,670,670,670,670,670,670,670,0.00%,1.5,1.0
/ideskos-viewport/j_spring_cas_security_check,1,953,953,953,953,953,953,953,0.00%,1.0,4.6
/idesk/prisma-home/,1,212,212,212,212,212,212,212,0.00%,4.7,4.9
/bi-services/api/syncUser,2,332,243,421,421,421,243,421,0.00%,.2,.2
/prisma-api/secure/rest/marketplace/status,3,323,279,422,422,422,268,422,0.00%,.1,.1
/agency-service/secure/user,4,378,329,463,463,463,295,463,0.00%,.1,1.4
/cas/login-Bi service,1,244,244,244,244,244,244,244,0.00%,4.1,1.2
/cas/login-Prisma API,1,238,238,238,238,238,238,238,0.00%,4.2,1.2
/cas/login-Agency service,1,236,236,236,236,236,236,236,0.00%,4.2,2.9
/ideskos-locale/bundle/IDeskHome/locale/22,1,280,280,280,280,280,280,280,0.00%,3.6,39.8
/ideskos-locale/bundle/IDeskGWTCore/locale/22,1,511,511,511,511,511,511,511,0.00%,2.0,132.9
/ideskos-locale/bundle/com.mediaocean.global.common/locale/22,1,535,535,535,535,535,535,535,0.00%,1.9,206.1
/bi-services/j_spring_cas_security_check,1,525,525,525,525,525,525,525,0.00%,1.9,2.7
/agency-service/j_spring_cas_security_check,1,7300,7300,7300,7300,7300,7300,7300,0.00%,.1,2.0
/prisma-api/j_spring_cas_security_check,1,560,560,560,560,560,560,560,0.00%,1.8,2.0
/prisma-api/secure/rest/marketplace/messages/unread/count,1,318,318,318,318,318,318,318,0.00%,3.1,3.2
/ideskos-viewport/marketo/email,1,207,207,207,207,207,207,207,0.00%,4.8,2.9
/ideskos-locale/bundle/PrismaContextHelp/locale/22,1,474,474,474,474,474,474,474,0.00%,2.1,97.3
/campaign-service/secure/campaign/universe,1,292,292,292,292,292,292,292,0.00%,3.4,1.5
/campaign-service/secure/alertsSummary/activealerttotals,1,358,358,358,358,358,358,358,0.00%,2.8,1.5
/campaign-service/secure/campaign/homepage,1,452,452,452,452,452,452,452,0.00%,2.2,3.2
/campaign-service/secure/campaign/filtercounts,1,412,412,412,412,412,412,412,0.00%,2.4,1.2
Campaign Home Page,1,17951,17951,17951,17951,17951,17951,17951,0.00%,.1,16.2
/agency-service/secure/metadata/features,2,260,253,267,267,267,253,267,0.00%,.2,.1
/ideskos-locale/bundle/com.mediaocean.campaign.details/locale/22,1,265,265,265,265,265,265,265,0.00%,3.8,71.5
/campaign-service/secure/campaignmetadata,1,325,325,325,325,325,325,325,0.00%,3.1,12.1
/agency-service/secure/client/findbycodeorname,4,755,477,1568,1568,1568,462,1568,0.00%,1.3,2.4
/agency-service/secure/client,4,387,363,447,447,447,363,447,0.00%,2.6,1.8
/agency-service/secure/product,1,322,322,322,322,322,322,322,0.00%,3.1,1.3
/agency-service/secure/estimate,1,329,329,329,329,329,329,329,0.00%,3.0,3.5
Add Campaign-FullDetails,1,6065,6065,6065,6065,6065,6065,6065,0.00%,.2,5.8
/campaign-service/secure/campaign[CSV],1,976,976,976,976,976,976,976,0.00%,1.0,.3
/idesk/prisma-campaign-header/,1,211,211,211,211,211,211,211,0.00%,4.7,3.7
/prisma/planning/,1,233,233,233,233,233,233,233,0.00%,4.3,3.0
/ideskos-locale/bundle/DDSGWTCore/locale/22,1,267,267,267,267,267,267,267,0.00%,3.7,18.6
/campaign-service/secure/campaign/public/CP5LKXZ/lastAccessed,1,448,448,448,448,448,448,448,0.00%,2.2,4.0
/ideskos-locale/bundle/com.mediaocean.prisma.planning/locale/22,1,275,275,275,275,275,275,275,0.00%,3.6,103.8
/cas/login-Planning Service,1,657,657,657,657,657,657,657,0.00%,1.5,.4
/prebuy-service-ws/secure/rest/campaign,2,852,439,1265,1265,1265,439,1265,0.00%,.5,.8
/cas/login-Prebuy Service,1,229,229,229,229,229,229,229,0.00%,4.4,1.3
/prebuy-service-ws/j_spring_cas_security_check,1,1667,1667,1667,1667,1667,1667,1667,0.00%,.6,1.3
/campaign-service/secure/campaign/public/CP5LKXZ,4,469,456,492,492,492,443,492,0.00%,.0,.0
/bi-services/api/getReportIds,1,487,487,487,487,487,487,487,0.00%,2.1,6.4
/prisma-api/secure/rest/preauth,1,204,204,204,204,204,204,204,0.00%,4.9,5.0
/ideskos-locale/bundle/com.mediaocean.marketplace.shop.bundle/locale/22,1,273,273,273,273,273,273,273,0.00%,3.7,40.7
/ideskos-locale/bundle/com.mediaocean.marketplace.common/locale/22,1,268,268,268,268,268,268,268,0.00%,3.7,49.1
/prisma-api/secure/rest/marketplace/offers/filtermetadata,1,414,414,414,414,414,414,414,0.00%,2.4,16.5
/prisma-api/secure/rest/marketplace/cart,1,270,270,270,270,270,270,270,0.00%,3.7,5.0
/prisma-api/secure/rest/marketplace/offers,2,287,284,291,291,291,284,291,0.00%,.0,.0
Click Save-Campaign details,1,11140,11140,11140,11140,11140,11140,11140,0.00%,.1,10.3
/campaign-service/secure/campaign/5176496/proposalRFP/importrfp?encoding=ISO_8859-1,1,63173,63173,63173,63173,63173,63173,63173,0.00%,.0,.2
/campaign-service/secure/campaign/5176496/queryservice/mediaplan/hybrid,1,1714,1714,1714,1714,1714,1714,1714,0.00%,.6,.9
/campaign-service/secure/campaign/5176496/placement/showTransact,1,256,256,256,256,256,256,256,0.00%,3.9,1.3
Import Media Plan,1,66377,66377,66377,66377,66377,66377,66377,0.00%,.0,.3
Debug Sampler,1,1,1,1,1,1,1,1,0.00%,1000.0,3003.9
184 /campaign-service/secure/campaign/5176496/bulkedit/list,1,2714,2714,2714,2714,2714,2714,2714,0.00%,.4,.3
185 /campaign-service/secure/campaign/5176496/bulkedit/placementsAffected[CSV],1,20578,20578,20578,20578,20578,20578,20578,0.00%,.0,.2
187 /campaign-service/secure/campaign/5176496/bulkedit/apply[CSV],1,24507,24507,24507,24507,24507,24507,24507,0.00%,.0,.3
188 /campaign-service/secure/campaign/5176496/queryservice/mediaplan/hybrid,1,1313,1313,1313,1313,1313,1313,1313,0.00%,.8,1.1
189 /campaign-service/secure/campaign/5176496/placement/showTransact,1,270,270,270,270,270,270,270,0.00%,3.7,.8
190 /campaign-service/secure/campaign/5176496,1,551,551,551,551,551,551,551,0.00%,1.8,3.3
192 /campaign-service/secure/campaign/publicforui/CP5LKXZ,1,619,619,619,619,619,619,619,0.00%,1.6,2.7
194 /campaign-service/secure/campaign/publicforui/CP5LKXZ,1,480,480,480,480,480,480,480,0.00%,2.1,3.8
BULK-EDITadd market field as atlanta,1,51032,51032,51032,51032,51032,51032,51032,0.00%,.0,.4
TOTAL,94,3302,414,2714,17951,63173,1,66377,0.00%,.3,3.1
