SN		Schema 2.9																																																																											
SV		2.9																																																																											
C			7.98																																																																										
T		TOKEN		CP3D3Q																																																																									
HR	rowNumber	placementNumber	sourceID	site	packageNPackageType	groupName	primaryPlacement	placementName	supplierProductName	placementUrl	section	target	dimensions	dimensionsPosition	proposalCostMethod	unitType	rate	unitAmount	plannedCost	flightStart	flightEnd	creativeType	creativeTypeDescription	maxFileSize	creativeDueDate	servedBy	estimatedUniqueViews	estimatedPageViews	shareOfVoice	richMediaAccepted	richMediaFeeIncluded	flashVersion	maxLooping	maxAnimationTiming	comments	supplierValidityEndDate	supplerSalesOrderRef	supplierSalesOrderRefVersion	supplierSalesAdserverOID	supplierPlacementRef	supplierOrderDate	inventoryType	subsection	supplierPlacementParentRef	marketRate	marketValue	CC:VENDOR PROPERTY TYPE	CC:PUBLISHER PRODUCT	CC:FEES	CC:COMMISSION	CC:MEDIA TYPE	CC:GUARANTEED	CC:EXPIRATION DATE	CC:TARGETING DELIVERY TYPE	CC:RICH MEDIA TYPES - FORMAT	CC:BUY TYPE 1	CC:CHANNEL TYPE 1	CC:CHANNEL TYPE 2	CC:TARGETING AUDIENCE TYPE	CC:TARGETING CONTEXT TYPE	CC:BUY TYPE 2	CC:TARGETING DELIVERY VALUE	CC:NOTES FOR BUYER	CC:NON-GUARANTEED IMPRESSIONS ESTIMATES	CC:VIDEO LENGTH	M:1	M:2	M:3	M:4	M:5	M:6	M:7	M:8	M:9	M:10	M:11	M:12
CH	Row Number	ID (For Prisma use only)	Seller System ID (For Mediaocean use only)	Site Name	Type	Package Name	Primary Placement (roadblock placements only)	Placement Name	Supplier Product Name	Placement URL	Section	Targeting Information	Unit Dimensions	Positioning	Cost Method	Unit Type	Unit Rate	Planned Unit Amount	Planned Cost	Flight Start	Flight End	Creative Type	Creative Type Description	Max File Size	Creative Due Date	Served by	Unique Views	Page Views	Share of Voice	Rich Media Accepted	Rich Media Included in Rate?	Flash Version	Max Looping	Max Animation	Comments	Pub Valid Until Date	Pub Sales Order Ref	Pub Sales Order Ref Version	Pub Ad Server Order No	Pub Placement Ref	Pub Order Date	Inventory Type	Sub-section	Pub placement parent ref	Pre-Negotiated Rate	Market	VENDOR PROPERTY TYPE	PUBLISHER PRODUCT	FEES	COMMISSION	MEDIA TYPE	GUARANTEED	EXPIRATION DATE	TARGETING DELIVERY TYPE	RICH MEDIA TYPES - FORMAT	BUY TYPE 1	CHANNEL TYPE 1	CHANNEL TYPE 2	TARGETING AUDIENCE TYPE	TARGETING CONTEXT TYPE	BUY TYPE 2	TARGETING DELIVERY VALUE	NOTES FOR BUYER	NON-GUARANTEED IMPRESSIONS ESTIMATES	VIDEO LENGTH	Jan16	Feb16	Mar16	Apr16	May16	Jun16	Jul16	Aug16	Sep16	Oct16	Nov16	Dec16
P	15			3COM.COM	Display Standard			Perf3complacmnt3					120 x 600	Skyscraper	CPM	Impressions	123	11	1.35	2016-01-01	2016-12-31					3rd party				No	No														1.2	Market - AFNY Online List  2		AE1-I-D												African-American (AA)						11	0	0	0	0	0	0	0	0	0	0	0
P	16			3COM.COM	Display Standard			Perf3complacmnt4					120 x 600	Skyscraper	CPM	Impressions	123	11	1.35	2016-01-01	2016-12-31					3rd party				No	No														1.2	Market - AFNY Online List  2		AE1-I-D												African-American (AA)						11	0	0	0	0	0	0	0	0	0	0	0
P	17			3COM.COM	Display Standard			Perf3complacmnt5					120 x 600	Skyscraper	CPM	Impressions	123	11	1.35	2016-01-01	2016-12-31					3rd party				No	No														1.2	Market - AFNY Online List  2		AE1-I-D												African-American (AA)						11	0	0	0	0	0	0	0	0	0	0	0
P	18			3COM.COM	Display Standard			Perf3complacmnt6					120 x 600	Skyscraper	CPM	Impressions	123	11	1.35	2016-01-01	2016-12-31					3rd party				No	No														1.2	Market - AFNY Online List  2		AE1-I-D												African-American (AA)						11	0	0	0	0	0	0	0	0	0	0	0
P	19			3COM.COM	Display Standard			Perf3complacmnt7					120 x 600	Skyscraper	CPM	Impressions	123	11	1.35	2016-01-01	2016-12-31					3rd party				No	No														1.2	Market - AFNY Online List  2		AE1-I-D												African-American (AA)						11	0	0	0	0	0	0	0	0	0	0	0
P	20			3COM.COM	Display Standard			Perf3complacmnt8					120 x 600	Skyscraper	CPM	Impressions	123	11	1.35	2016-01-01	2016-12-31					3rd party				No	No														1.2	Market - AFNY Online List  2		AE1-I-D												African-American (AA)						11	0	0	0	0	0	0	0	0	0	0	0
P	21			3COM.COM	Display Standard			Perf3complacmnt9					120 x 600	Skyscraper	CPM	Impressions	123	11	1.35	2016-01-01	2016-12-31					3rd party				No	No														1.2	Market - AFNY Online List  2		AE1-I-D												African-American (AA)						11	0	0	0	0	0	0	0	0	0	0	0
P	22			3COM.COM	Display Standard			Perf3complacmnt10					120 x 600	Skyscraper	CPM	Impressions	123	11	1.35	2016-01-01	2016-12-31					3rd party				No	No														1.2	Market - AFNY Online List  2		AE1-I-D												African-American (AA)						11	0	0	0	0	0	0	0	0	0	0	0
P	23			3COM.COM	Display Standard			Perf3complacmnt11					120 x 600	Skyscraper	CPM	Impressions	123	11	1.35	2016-01-01	2016-12-31					3rd party				No	No														1.2	Market - AFNY Online List  2		AE1-I-D												African-American (AA)						11	0	0	0	0	0	0	0	0	0	0	0
