SN		Schema 2.9																																																																										
SV		2.9																																																																										
C			4																																																																									
T		TOKEN		CP3KG9																																																																								
HR	rowNumber	placementNumber	sourceID	site	packageNPackageType	groupName	primaryPlacement	placementName	supplierProductName	placementUrl	section	target	dimensions	dimensionsPosition	proposalCostMethod	unitType	rate	unitAmount	plannedCost	flightStart	flightEnd	creativeType	creativeTypeDescription	maxFileSize	creativeDueDate	servedBy	estimatedUniqueViews	estimatedPageViews	shareOfVoice	richMediaAccepted	richMediaFeeIncluded	flashVersion	maxLooping	maxAnimationTiming	comments	supplierValidityEndDate	supplerSalesOrderRef	supplierSalesOrderRefVersion	supplierSalesAdserverOID	supplierPlacementRef	supplierOrderDate	inventoryType	subsection	supplierPlacementParentRef	marketRate	CC:VENDOR PROPERTY TYPE	CC:PUBLISHER PRODUCT	CC:FEES	CC:COMMISSION	CC:MEDIA TYPE	CC:GUARANTEED	CC:EXPIRATION DATE	CC:TARGETING DELIVERY TYPE	CC:RICH MEDIA TYPES - FORMAT	CC:BUY TYPE 1	CC:CHANNEL TYPE 1	CC:CHANNEL TYPE 2	CC:TARGETING AUDIENCE TYPE	CC:TARGETING CONTEXT TYPE	CC:BUY TYPE 2	CC:TARGETING DELIVERY VALUE	CC:NOTES FOR BUYER	CC:NON-GUARANTEED IMPRESSIONS ESTIMATES	CC:VIDEO LENGTH	M:1	M:2	M:3	M:4	M:5	M:6	M:7	M:8	M:9	M:10	M:11	M:12
CH	Row Number	ID (For Prisma use only)	Seller System ID (For Mediaocean use only)	Site Name	Type	Package Name	Primary Placement (roadblock placements only)	Placement Name	Supplier Product Name	Placement URL	Section	Targeting Information	Unit Dimensions	Positioning	Cost Method	Unit Type	Unit Rate	Planned Unit Amount	Planned Cost	Flight Start	Flight End	Creative Type	Creative Type Description	Max File Size	Creative Due Date	Served by	Unique Views	Page Views	Share of Voice	Rich Media Accepted	Rich Media Included in Rate?	Flash Version	Max Looping	Max Animation	Comments	Pub Valid Until Date	Pub Sales Order Ref	Pub Sales Order Ref Version	Pub Ad Server Order No	Pub Placement Ref	Pub Order Date	Inventory Type	Sub-section	Pub placement parent ref	Pre-Negotiated Rate	VENDOR PROPERTY TYPE	PUBLISHER PRODUCT	FEES	COMMISSION	MEDIA TYPE	GUARANTEED	EXPIRATION DATE	TARGETING DELIVERY TYPE	RICH MEDIA TYPES - FORMAT	BUY TYPE 1	CHANNEL TYPE 1	CHANNEL TYPE 2	TARGETING AUDIENCE TYPE	TARGETING CONTEXT TYPE	BUY TYPE 2	TARGETING DELIVERY VALUE	NOTES FOR BUYER	NON-GUARANTEED IMPRESSIONS ESTIMATES	VIDEO LENGTH	Jan16	Feb16	Mar16	Apr16	May16	Jun16	Jul16	Aug16	Sep16	Oct16	Nov16	Dec16
P	15			PERFSUPPLIER1 - 123	Display Standard			Performance Placement1			Business	ABCD	120 x 60	Button 2	CPM	Impressions	20	200	4	2016-01-01	2016-12-31					Other				No	No											InvType/Display/AF/AFNY 3			20		PER-I-D												College (CO)						25	15	16	16	16	16	16	16	16	16	16	16
P	16			PERFSUPPLIER1 - 124	Display Standard			Performance Placement2			Business	ABCD	120 x 60	Button 2	CPM	Impressions	20	200	4	2016-01-01	2016-12-31					Other				No	No											InvType/Display/AF/AFNY 3			20		PER-I-D												College (CO)						25	15	16	16	16	16	16	16	16	16	16	16
P	17			PERFSUPPLIER1 - 125	Display Standard			Performance Placement3			Business	ABCD	120 x 60	Button 2	CPM	Impressions	20	200	4	2016-01-01	2016-12-31					Other				No	No											InvType/Display/AF/AFNY 3			20		PER-I-D												College (CO)						25	15	16	16	16	16	16	16	16	16	16	16
P	18			PERFSUPPLIER1 - 126	Display Standard			Performance Placement4			Business	ABCD	120 x 60	Button 2	CPM	Impressions	20	200	4	2016-01-01	2016-12-31					Other				No	No											InvType/Display/AF/AFNY 3			20		PER-I-D												College (CO)						25	15	16	16	16	16	16	16	16	16	16	16
P	19			PERFSUPPLIER1 - 127	Display Standard			Performance Placement5			Business	ABCD	120 x 60	Button 2	CPM	Impressions	20	200	4	2016-01-01	2016-12-31					Other				No	No											InvType/Display/AF/AFNY 3			20		PER-I-D												College (CO)						25	15	16	16	16	16	16	16	16	16	16	16
P	20			PERFSUPPLIER1 - 128	Display Standard			Performance Placement6			Business	ABCD	120 x 60	Button 2	CPM	Impressions	20	200	4	2016-01-01	2016-12-31					Other				No	No											InvType/Display/AF/AFNY 3			20		PER-I-D												College (CO)						25	15	16	16	16	16	16	16	16	16	16	16
P	21			PERFSUPPLIER1 - 129	Display Standard			Performance Placement7			Business	ABCD	120 x 60	Button 2	CPM	Impressions	20	200	4	2016-01-01	2016-12-31					Other				No	No											InvType/Display/AF/AFNY 3			20		PER-I-D												College (CO)						25	15	16	16	16	16	16	16	16	16	16	16
P	22			PERFSUPPLIER1 - 130	Display Standard			Performance Placement8			Business	ABCD	120 x 60	Button 2	CPM	Impressions	20	200	4	2016-01-01	2016-12-31					Other				No	No											InvType/Display/AF/AFNY 3			20		PER-I-D												College (CO)						25	15	16	16	16	16	16	16	16	16	16	16
P	23			PERFSUPPLIER1 - 131	Display Standard			Performance Placement9			Business	ABCD	120 x 60	Button 2	CPM	Impressions	20	200	4	2016-01-01	2016-12-31					Other				No	No											InvType/Display/AF/AFNY 3			20		PER-I-D												College (CO)						25	15	16	16	16	16	16	16	16	16	16	16
