SN		Schema 2.9
SV		2.9
C			1503.31
T		TOKEN		CP5K56V
HR	rowNumber	placementNumber	sourceID	site	packageNPackageType	groupName	primaryPlacement	placementName	supplierProductName	placementUrl	section	target	dimensions	dimensionsPosition	proposalCostMethod	unitType	rate	unitAmount	plannedCost	flightStart	flightEnd	creativeType	creativeTypeDescription	maxFileSize	creativeDueDate	servedBy	estimatedUniqueViews	estimatedPageViews	shareOfVoice	richMediaAccepted	richMediaFeeIncluded	flashVersion	maxLooping	maxAnimationTiming	comments	supplierValidityEndDate	supplerSalesOrderRef	supplierSalesOrderRefVersion	supplierSalesAdserverOID	supplierPlacementRef	supplierOrderDate	inventoryType	CC:AGE TARGETING	CC:GENDER TARGETING	CC:AGENCY-PUBLISHER PAID	CC:DAYPART TARGETING	CC:GEO TARGETING LEVEL	CC:BEHAVIORAL TARGETING	CC:CONTEXTUAL TARGETING	CC:RETARGETING	CC:CPE KPI	CC:PUBLISHER PRODUCT	CC:EXPIRATION_DATE	CC:FEES	CC:COMMISSION	CC:NEWCOLUMN	M:1	M:2	M:3	M:4	M:5	M:6	M:7	M:8	M:9	M:10	M:11	M:12
CH	Row Number	ID (For Prisma use only)	Seller System ID (For Mediaocean use only)	Site Name	Type	Package Name	Primary Placement (roadblock placements only)	Placement Name	Supplier Product Name	Placement URL	Section	Targeting Information	Unit Dimensions	Positioning	Cost Method	Unit Type	Unit Rate	Planned Unit Amount	Planned Cost	Flight Start	Flight End	Creative Type	Creative Type Description	Max File Size	Creative Due Date	Served by	Unique Views	Page Views	Share of Voice	Rich Media Accepted	Rich Media Included in Rate?	Flash Version	Max Looping	Max Animation	Comments	Pub Valid Until Date	Pub Sales Order Ref	Pub Sales Order Ref Version	Pub Ad Server Order No	Pub Placement Ref	Pub Order Date	Inventory Type	AGE TARGETING	GENDER TARGETING	AGENCY/PUBLISHER PAID	DAYPART TARGETING	GEO TARGETING LEVEL	BEHAVIORAL TARGETING	CONTEXTUAL TARGETING	RETARGETING	VENDOR PROPERTY TYPE	PUBLISHER PRODUCT	EXPIRATION DATE	FEES	COMMISSION	NEWCOLUMN	Jan15	Feb15	Mar15	Apr15	May15	Jun15	Jul15	Aug15	Sep15	Oct15	Nov15	Dec15	
P	15			GOOGLE.COM	Package	PerfRegressionPackage2		PerfRegressionPackage2							CPM	Impressions	123	12222	1503.31	1/1/2015	12/31/2015									No	No																					AE1-I-D					1041	937	1038	1004	1038	1004	1038	1038	1004	1038	1004	1038
P	16			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt1					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	17			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt2					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	18			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt3					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	19			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt4					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	20			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt5					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	21			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt6					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	22			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt7					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	23			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt8					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	24			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt9					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	25			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt10					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	26			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt11					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	27			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt12					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	28			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt13					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	29			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt14					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	30			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt15					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	31			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt16					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	32			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt17					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	33			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt18					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	34			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt19					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	35			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt20					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	36			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt21					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	37			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt22					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	38			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt23					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	39			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt24					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	40			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt25					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	41			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt26					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	42			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt27					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
P	43			GOOGLE.COM	Display Standard	PerfRegressionPackage2		ChildPlacmnt28					120 x 60	Button 2			0	0	0	1/1/2015	12/31/2015					3rd party				No	No																					AE1-I-D																
