SN		Schema 2.9																																																																										
SV		2.9																																																																										
C			80																																																																									
T		TOKEN		CP3L4G																																																																								
HR	rowNumber	placementNumber	sourceID	site	packageNPackageType	groupName	primaryPlacement	placementName	supplierProductName	placementUrl	section	target	dimensions	dimensionsPosition	proposalCostMethod	unitType	rate	unitAmount	plannedCost	flightStart	flightEnd	creativeType	creativeTypeDescription	maxFileSize	creativeDueDate	servedBy	estimatedUniqueViews	estimatedPageViews	shareOfVoice	richMediaAccepted	richMediaFeeIncluded	flashVersion	maxLooping	maxAnimationTiming	comments	supplierValidityEndDate	supplerSalesOrderRef	supplierSalesOrderRefVersion	supplierSalesAdserverOID	supplierPlacementRef	supplierOrderDate	inventoryType	subsection	supplierPlacementParentRef	marketRate	CC:VENDOR PROPERTY TYPE	CC:PUBLISHER PRODUCT	CC:FEES	CC:COMMISSION	CC:MEDIA TYPE	CC:GUARANTEED	CC:EXPIRATION DATE	CC:TARGETING DELIVERY TYPE	CC:RICH MEDIA TYPES - FORMAT	CC:BUY TYPE 1	CC:CHANNEL TYPE 1	CC:CHANNEL TYPE 2	CC:TARGETING AUDIENCE TYPE	CC:TARGETING CONTEXT TYPE	CC:BUY TYPE 2	CC:TARGETING DELIVERY VALUE	CC:NOTES FOR BUYER	CC:NON-GUARANTEED IMPRESSIONS ESTIMATES	CC:VIDEO LENGTH	M:1	M:2	M:3	M:4	M:5	M:6	M:7	M:8	M:9	M:10	M:11	M:12
CH	Row Number	ID (For Prisma use only)	Seller System ID (For Mediaocean use only)	Site Name	Type	Package Name	Primary Placement (roadblock placements only)	Placement Name	Supplier Product Name	Placement URL	Section	Targeting Information	Unit Dimensions	Positioning	Cost Method	Unit Type	Unit Rate	Planned Unit Amount	Planned Cost	Flight Start	Flight End	Creative Type	Creative Type Description	Max File Size	Creative Due Date	Served by	Unique Views	Page Views	Share of Voice	Rich Media Accepted	Rich Media Included in Rate?	Flash Version	Max Looping	Max Animation	Comments	Pub Valid Until Date	Pub Sales Order Ref	Pub Sales Order Ref Version	Pub Ad Server Order No	Pub Placement Ref	Pub Order Date	Inventory Type	Sub-section	Pub placement parent ref	Pre-Negotiated Rate	VENDOR PROPERTY TYPE	PUBLISHER PRODUCT	FEES	COMMISSION	MEDIA TYPE	GUARANTEED	EXPIRATION DATE	TARGETING DELIVERY TYPE	RICH MEDIA TYPES - FORMAT	BUY TYPE 1	CHANNEL TYPE 1	CHANNEL TYPE 2	TARGETING AUDIENCE TYPE	TARGETING CONTEXT TYPE	BUY TYPE 2	TARGETING DELIVERY VALUE	NOTES FOR BUYER	NON-GUARANTEED IMPRESSIONS ESTIMATES	VIDEO LENGTH	Jan16	Feb16	Mar16	Apr16	May16	Jun16	Jul16	Aug16	Sep16	Oct16	Nov16	Dec16
P	615			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign601			Recruitment	ABCD12	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	616			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign602			Recruitment	ABCD13	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	617			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign603			Recruitment	ABCD14	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	618			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign604			Recruitment	ABCD15	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	619			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign605			Recruitment	ABCD16	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	620			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign606			Recruitment	ABCD17	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	621			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign607			Recruitment	ABCD18	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	622			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign608			Recruitment	ABCD19	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	623			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign609			Recruitment	ABCD20	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	624			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign610			Recruitment	ABCD21	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	625			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign611			Recruitment	ABCD22	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	626			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign612			Recruitment	ABCD23	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	627			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign613			Recruitment	ABCD24	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	628			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign614			Recruitment	ABCD25	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	629			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign615			Recruitment	ABCD26	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	630			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign616			Recruitment	ABCD27	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	631			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign617			Recruitment	ABCD28	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	632			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign618			Recruitment	ABCD29	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	633			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign619			Recruitment	ABCD30	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	634			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign620			Recruitment	ABCD31	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	635			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign621			Recruitment	ABCD32	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	636			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign622			Recruitment	ABCD33	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	637			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign623			Recruitment	ABCD34	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	638			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign624			Recruitment	ABCD35	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	639			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign625			Recruitment	ABCD36	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	640			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign626			Recruitment	ABCD37	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	641			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign627			Recruitment	ABCD38	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	642			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign628			Recruitment	ABCD39	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	643			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign629			Recruitment	ABCD40	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	644			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign630			Recruitment	ABCD41	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	645			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign631			Recruitment	ABCD42	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	646			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign632			Recruitment	ABCD43	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	647			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign633			Recruitment	ABCD44	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	648			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign634			Recruitment	ABCD45	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	649			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign635			Recruitment	ABCD46	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	650			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign636			Recruitment	ABCD47	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	651			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign637			Recruitment	ABCD48	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	652			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign638			Recruitment	ABCD49	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	653			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign639			Recruitment	ABCD50	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	654			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign640			Recruitment	ABCD51	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	655			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign641			Recruitment	ABCD52	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	656			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign642			Recruitment	ABCD53	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	657			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign643			Recruitment	ABCD54	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	658			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign644			Recruitment	ABCD55	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	659			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign645			Recruitment	ABCD56	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	660			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign646			Recruitment	ABCD57	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	661			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign647			Recruitment	ABCD58	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	662			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign648			Recruitment	ABCD59	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	663			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign649			Recruitment	ABCD60	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	664			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign650			Recruitment	ABCD61	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	665			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign651			Recruitment	ABCD62	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
P	666			PERFSUPPLIER4 - 123	Display Standard			PerfCampaign652			Recruitment	ABCD63	120 x 60	Button 2	CPM	Impressions	20	4000	80	2016-01-01	2016-12-31					3rd party				No	No																PER-I-D												College (CO)						371	345	369	357	369	357	369	369	357	369	357	11
